z,mass,mass_err,SFR,sSFR,Z_Mannucci,Z_Dopita,deltaZ,Z_R23,Z_NHa,q,surf_bright,HaHb,bdec_frac_err,logR23,logNHa,OIII/OII,NII/OII,OIII/SII,NII/SII,Hbeta_ratio,Hdelta_eqw,D4000,vdisp,A_v
0.165,10.793,0.202,-0.028,-10.821,9.164,9.158,-0.007,9.164,0.000,7.507,20.785,4.126,0.095,0.118,-0.353,-0.721,-0.027,-0.566,0.129,0.846,4.869,1.326,105.107,0.592
0.074,10.040,0.187,-0.797,-10.837,8.987,9.122,0.135,8.940,9.035,7.084,20.547,4.194,0.093,0.499,-0.415,-0.931,-0.403,-0.407,0.121,0.886,-0.136,1.456,99.499,0.807
0.091,10.798,0.190,0.353,-10.445,9.043,9.215,0.171,9.142,8.944,7.314,19.656,5.413,0.040,0.163,-0.490,-0.829,-0.128,-0.472,0.229,0.704,4.875,1.303,139.008,1.611
0.171,10.047,0.170,0.242,-9.804,8.880,8.960,0.080,8.839,8.920,7.423,20.989,4.003,0.048,0.616,-0.513,-0.512,-0.528,0.039,0.022,0.417,4.985,1.203,48.320,1.990
0.074,9.830,0.195,-0.106,-9.936,8.846,8.914,0.068,8.821,8.872,7.364,20.398,3.447,0.018,0.635,-0.562,-0.517,-0.595,0.057,-0.021,0.193,6.662,1.137,51.950,1.015
0.160,10.770,0.197,0.517,-10.254,8.995,9.120,0.125,9.019,8.971,7.383,20.596,5.306,0.074,0.384,-0.467,-0.697,-0.302,-0.239,0.155,0.598,5.374,1.356,121.884,1.051
0.074,10.169,0.188,-0.273,-10.442,8.997,9.059,0.062,9.027,8.967,7.415,20.120,4.247,0.041,0.371,-0.470,-0.685,-0.276,-0.353,0.056,0.565,4.269,1.349,84.008,0.885
0.111,10.577,0.200,-0.028,-10.606,8.932,9.134,0.202,8.964,8.899,6.880,20.944,5.879,0.128,0.465,-0.534,-1.124,-0.510,-0.499,0.115,1.053,0.375,1.444,89.626,1.347
0.085,9.982,0.177,-0.478,-10.460,8.835,8.846,0.011,8.758,8.912,7.274,20.282,4.228,0.054,0.693,-0.522,-0.570,-0.630,-0.047,-0.107,1.306,7.783,1.295,71.925,1.352
0.091,10.288,0.174,-0.263,-10.552,8.968,9.061,0.093,8.974,8.963,7.304,20.423,4.039,0.044,0.452,-0.473,-0.729,-0.365,-0.293,0.071,0.472,3.701,1.326,96.576,1.269
0.110,10.199,0.178,-0.399,-10.598,8.914,9.002,0.088,8.925,8.903,7.142,20.827,4.384,0.092,0.518,-0.531,-0.799,-0.508,-0.290,0.000,0.939,2.571,1.254,132.000,0.892
0.088,10.466,0.188,0.072,-10.394,9.068,9.249,0.181,9.068,0.000,7.305,19.726,4.477,0.030,0.303,-0.275,-0.855,-0.049,-0.545,0.262,0.448,3.592,1.320,107.735,0.759
0.199,11.005,0.198,1.235,-9.769,8.947,9.137,0.190,8.911,8.982,7.061,20.304,5.827,0.046,0.535,-0.456,-0.913,-0.473,-0.269,0.171,0.367,6.506,1.180,166.330,2.239
0.075,10.053,0.178,-0.124,-10.177,8.949,9.025,0.075,8.975,8.923,7.125,20.133,4.000,0.024,0.450,-0.510,-0.870,-0.431,-0.446,-0.007,0.374,5.240,1.194,83.273,1.185
0.209,11.397,0.210,0.410,-10.988,9.147,9.297,0.149,9.147,0.000,7.225,20.684,4.549,0.090,0.153,-0.349,-0.956,0.006,-0.654,0.307,0.833,3.946,1.285,139.677,0.845
0.103,10.065,0.173,-0.371,-10.436,8.938,9.055,0.116,8.938,8.938,7.039,20.973,4.253,0.084,0.500,-0.496,-0.931,-0.483,-0.411,0.037,0.646,6.133,1.239,122.600,0.537
0.073,10.760,0.185,0.180,-10.580,9.059,9.234,0.175,9.142,8.975,7.259,19.514,5.097,0.033,0.163,-0.463,-0.893,-0.106,-0.549,0.238,0.644,5.258,1.331,114.057,1.394
0.119,10.588,0.184,0.366,-10.222,9.033,9.223,0.190,9.033,0.000,7.163,19.936,4.607,0.034,0.362,-0.370,-0.946,-0.218,-0.492,0.236,0.512,6.164,1.254,110.923,0.791
0.091,10.298,0.192,-0.438,-10.735,8.975,9.071,0.097,8.975,0.000,7.456,20.134,3.493,0.040,0.451,-0.386,-0.653,-0.274,-0.296,0.083,0.545,3.501,1.412,80.472,0.291
0.097,10.346,0.187,-0.135,-10.481,8.971,9.204,0.232,8.971,0.000,7.103,20.608,4.748,0.055,0.455,-0.309,-0.996,-0.252,-0.550,0.194,0.532,1.777,1.244,52.864,1.006
0.083,10.115,0.165,-0.718,-10.833,9.015,9.018,0.003,9.071,8.959,7.431,20.718,3.475,0.035,0.298,-0.477,-0.700,-0.224,-0.504,-0.028,0.691,4.687,1.293,55.240,1.011
0.104,10.879,0.191,0.102,-10.777,9.072,9.203,0.131,9.081,9.063,7.365,19.449,4.527,0.029,0.280,-0.395,-0.788,-0.130,-0.439,0.220,1.041,2.335,1.406,120.253,0.509
0.115,10.594,0.194,0.256,-10.338,9.168,9.321,0.153,9.168,0.000,7.220,20.109,4.559,0.026,0.109,-0.318,-0.975,0.094,-0.751,0.318,0.628,6.045,1.233,123.180,1.494
0.088,10.510,0.186,0.271,-10.239,9.051,9.172,0.121,9.051,0.000,7.425,19.498,4.501,0.016,0.332,-0.380,-0.733,-0.160,-0.382,0.191,0.536,5.474,1.284,110.471,1.261
0.078,9.952,0.184,-0.353,-10.306,8.987,9.050,0.063,8.970,9.003,7.201,20.605,4.421,0.031,0.457,-0.439,-0.833,-0.360,-0.450,0.023,0.534,5.925,1.308,93.226,1.085
0.078,10.676,0.195,-0.094,-10.770,9.010,9.153,0.143,9.028,8.993,7.096,20.229,5.723,0.041,0.370,-0.447,-0.979,-0.299,-0.554,0.126,0.912,4.494,1.411,104.482,1.704
0.152,10.569,0.182,0.275,-10.294,8.991,9.107,0.116,9.060,8.923,7.379,20.790,4.946,0.046,0.317,-0.511,-0.717,-0.273,-0.322,0.121,0.701,3.784,1.276,82.009,1.246
0.080,9.955,0.180,-0.443,-10.398,8.908,8.938,0.030,8.928,8.888,7.202,20.825,3.782,0.021,0.514,-0.545,-0.729,-0.509,-0.285,-0.065,0.398,6.469,1.253,28.087,0.990
0.080,10.294,0.196,-0.343,-10.637,9.052,9.146,0.093,9.080,9.025,7.231,20.426,4.550,0.039,0.282,-0.422,-0.889,-0.190,-0.590,0.108,0.684,4.325,1.354,73.952,1.130
0.107,10.190,0.174,-0.452,-10.642,9.031,9.071,0.040,9.056,9.006,7.287,20.753,3.792,0.040,0.324,-0.437,-0.819,-0.231,-0.565,0.023,0.702,3.528,1.237,82.636,0.538
0.083,10.965,0.183,0.424,-10.542,9.089,9.253,0.164,9.109,9.069,7.291,18.793,4.764,0.016,0.228,-0.391,-0.860,-0.084,-0.495,0.282,0.714,4.602,1.311,161.146,1.050
0.070,9.705,0.166,-0.527,-10.232,8.738,8.725,-0.013,8.659,8.816,7.000,20.783,4.366,0.029,0.767,-0.623,-0.742,-0.841,-0.140,-0.238,0.656,4.536,1.222,0.000,1.304
0.108,9.693,0.172,-0.176,-9.870,8.994,9.071,0.077,9.013,8.974,7.189,20.907,3.901,0.027,0.394,-0.463,-0.862,-0.330,-0.494,0.039,0.424,5.933,1.156,92.597,0.823
0.097,10.308,0.177,-0.164,-10.472,9.051,9.181,0.130,9.114,8.988,7.440,20.171,4.523,0.033,0.219,-0.452,-0.738,-0.116,-0.430,0.191,0.892,4.097,1.340,99.341,0.706
0.084,9.699,0.233,-0.060,-9.759,8.947,9.030,0.083,8.954,8.940,7.340,20.305,3.725,0.013,0.480,-0.494,-0.666,-0.408,-0.205,0.052,0.346,5.229,1.172,55.269,0.930
0.079,10.423,0.190,-0.529,-10.952,9.029,9.121,0.092,9.087,8.972,7.369,20.634,4.846,0.052,0.270,-0.466,-0.763,-0.194,-0.461,0.108,0.918,2.090,1.463,92.613,1.089
0.123,10.439,0.229,0.411,-10.028,9.054,9.181,0.127,9.051,9.056,7.262,20.551,4.867,0.024,0.332,-0.400,-0.850,-0.212,-0.452,0.186,0.427,5.018,1.204,134.039,1.425
0.120,10.451,0.163,0.003,-10.449,9.112,9.132,0.021,9.207,9.017,7.833,21.067,5.021,0.128,0.023,-0.428,-0.582,0.072,-0.554,0.100,0.343,6.725,1.415,86.421,0.985
0.137,10.383,0.177,-0.064,-10.447,8.999,9.122,0.123,8.970,9.027,7.174,20.890,4.505,0.050,0.457,-0.420,-0.869,-0.345,-0.403,0.122,0.719,5.588,1.321,87.300,0.500
0.089,10.348,0.192,-0.316,-10.664,9.145,9.276,0.131,9.145,0.000,7.406,20.329,4.202,0.029,0.158,-0.283,-0.813,0.100,-0.631,0.281,0.574,3.323,1.377,67.328,0.795
0.080,9.692,0.168,-0.594,-10.286,8.955,9.027,0.071,8.977,8.933,7.288,20.679,3.523,0.025,0.447,-0.501,-0.725,-0.392,-0.306,0.027,0.554,3.927,1.239,43.557,0.681
0.076,9.966,0.167,-0.793,-10.759,8.983,9.096,0.113,9.012,8.954,7.284,20.965,3.597,0.032,0.395,-0.481,-0.772,-0.326,-0.342,0.104,0.542,3.761,1.293,28.527,0.565
0.081,10.162,0.220,-0.070,-10.233,8.794,8.898,0.104,8.688,8.900,7.149,20.915,4.845,0.024,0.748,-0.533,-0.658,-0.713,0.009,-0.046,0.354,4.462,1.222,97.973,1.881
0.167,10.687,0.179,0.062,-10.624,8.985,9.189,0.204,8.985,0.000,7.131,20.848,4.539,0.065,0.436,-0.371,-0.956,-0.268,-0.503,0.185,0.853,5.443,1.235,66.580,0.211
0.075,10.286,0.181,-0.335,-10.621,9.005,9.106,0.101,9.013,8.997,7.194,20.161,4.016,0.022,0.393,-0.444,-0.868,-0.310,-0.472,0.087,0.554,3.418,1.288,74.621,0.983
0.080,10.010,0.186,-0.230,-10.239,8.992,9.084,0.091,9.010,8.974,7.077,20.530,4.604,0.028,0.398,-0.463,-0.971,-0.350,-0.587,0.033,0.636,4.588,1.280,66.766,0.997
0.186,11.026,0.192,0.755,-10.270,9.060,9.202,0.142,9.054,9.066,7.222,20.284,4.852,0.033,0.327,-0.393,-0.896,-0.195,-0.495,0.205,0.568,4.757,1.253,163.832,0.929
0.097,9.874,0.221,-0.164,-10.038,8.692,8.584,-0.108,8.709,8.676,7.379,20.921,3.421,0.016,0.733,-0.790,-0.328,-0.855,0.226,-0.301,0.211,5.398,1.131,76.942,1.319
0.081,10.103,0.200,-0.561,-10.664,8.987,9.079,0.091,9.005,8.969,7.190,20.765,3.585,0.025,0.406,-0.468,-0.854,-0.344,-0.452,0.057,0.523,4.987,1.256,88.422,0.786
0.080,10.664,0.206,0.131,-10.532,9.016,9.216,0.200,9.024,9.008,7.137,19.884,6.232,0.036,0.377,-0.436,-0.945,-0.278,-0.424,0.243,0.980,3.187,1.525,129.655,1.386
0.137,10.464,0.183,0.413,-10.051,8.916,8.992,0.075,8.945,8.888,7.146,20.313,4.434,0.020,0.492,-0.546,-0.803,-0.494,-0.330,-0.021,0.550,6.804,1.207,90.584,1.646
0.097,10.050,0.314,0.412,-9.638,8.957,9.067,0.110,8.952,8.962,7.497,19.987,3.634,0.010,0.482,-0.474,-0.564,-0.365,-0.073,0.126,0.189,5.183,1.040,74.680,0.779
0.079,10.097,0.165,-0.371,-10.468,8.898,8.939,0.041,8.912,8.884,7.081,20.646,4.278,0.029,0.534,-0.550,-0.841,-0.547,-0.377,-0.084,0.585,5.796,1.284,84.267,1.460
0.079,10.251,0.187,-0.054,-10.305,9.043,9.206,0.163,9.069,9.017,7.282,19.886,4.397,0.021,0.301,-0.428,-0.841,-0.184,-0.428,0.228,0.578,4.204,1.348,99.529,0.997
0.080,10.150,0.193,0.100,-10.050,9.049,9.179,0.130,9.074,9.024,7.276,19.799,4.085,0.015,0.293,-0.423,-0.848,-0.181,-0.492,0.174,0.432,5.356,1.237,71.460,1.561
0.082,9.984,0.165,-0.741,-10.725,9.000,9.074,0.074,9.069,8.932,7.232,20.778,3.499,0.033,0.301,-0.502,-0.852,-0.268,-0.555,0.029,0.603,4.935,1.324,41.762,0.462
0.115,10.317,0.180,-0.579,-10.896,9.044,9.188,0.144,9.044,0.000,7.414,20.963,3.388,0.051,0.344,-0.348,-0.744,-0.152,-0.379,0.213,0.551,5.681,1.232,104.633,0.654
0.095,9.958,0.147,-0.616,-10.575,8.950,9.012,0.062,8.933,8.968,7.235,21.072,3.495,0.033,0.507,-0.469,-0.751,-0.427,-0.319,0.006,0.606,5.180,1.269,45.433,0.859
0.123,10.607,0.237,0.541,-10.066,9.107,9.250,0.143,9.107,0.000,7.457,19.785,4.088,0.015,0.232,-0.299,-0.766,0.019,-0.514,0.272,0.279,4.653,1.219,100.986,0.766
0.083,10.449,0.190,-0.098,-10.547,9.074,9.237,0.163,9.138,9.011,7.436,19.758,4.468,0.028,0.172,-0.433,-0.762,-0.048,-0.443,0.271,0.670,4.207,1.395,146.683,1.126
0.122,10.560,0.195,-0.393,-10.953,9.080,9.264,0.184,9.168,8.992,7.464,20.926,4.072,0.054,0.108,-0.448,-0.760,0.013,-0.465,0.308,0.878,3.091,1.264,68.652,0.920
0.115,10.485,0.165,-0.184,-10.669,9.074,9.163,0.089,9.074,0.000,7.389,20.341,3.680,0.032,0.293,-0.386,-0.768,-0.135,-0.478,0.156,0.696,4.318,1.264,74.040,0.730
0.087,9.983,0.213,-0.034,-10.017,8.974,9.041,0.067,9.008,8.941,7.241,20.446,3.985,0.019,0.401,-0.494,-0.793,-0.354,-0.420,0.019,0.435,5.496,1.191,68.507,1.600
0.086,9.977,0.174,-0.911,-10.888,8.907,8.930,0.023,8.888,8.926,7.167,21.325,3.260,0.047,0.563,-0.507,-0.759,-0.525,-0.313,-0.079,0.688,4.965,1.269,57.453,1.092
0.168,10.650,0.184,0.039,-10.610,8.939,9.038,0.099,8.948,8.930,7.157,20.797,3.932,0.050,0.487,-0.504,-0.817,-0.458,-0.322,0.037,0.589,5.015,1.300,127.415,0.775
0.105,10.377,0.166,0.384,-9.993,9.008,9.107,0.098,9.028,8.989,7.315,19.676,4.055,0.015,0.370,-0.451,-0.771,-0.278,-0.386,0.107,0.499,5.894,1.169,85.080,2.035
0.104,10.484,0.194,-0.399,-10.883,8.890,9.009,0.119,8.775,9.004,7.098,20.972,4.789,0.068,0.678,-0.439,-0.802,-0.577,-0.196,0.028,0.898,4.396,1.354,130.019,1.361
0.184,10.842,0.197,0.266,-10.576,8.997,9.204,0.207,8.997,0.000,7.094,20.504,4.380,0.051,0.418,-0.334,-1.011,-0.242,-0.581,0.188,0.725,4.345,1.355,107.679,0.287
0.086,10.118,0.179,-0.457,-10.575,8.943,9.025,0.083,8.943,8.942,7.184,20.901,4.467,0.042,0.493,-0.493,-0.793,-0.450,-0.322,0.022,0.598,4.259,1.297,98.463,0.996
0.074,9.944,0.173,-0.255,-10.199,8.987,9.050,0.063,9.011,8.962,7.094,20.336,4.436,0.023,0.396,-0.474,-0.951,-0.352,-0.611,-0.012,0.615,6.129,1.246,44.281,1.597
0.083,10.156,0.179,-0.312,-10.468,9.044,9.176,0.132,9.037,9.051,7.223,20.403,4.244,0.034,0.356,-0.404,-0.883,-0.221,-0.493,0.170,0.611,3.486,1.348,123.548,0.837
0.083,10.380,0.190,-0.514,-10.894,8.976,9.087,0.111,8.924,9.028,7.161,20.715,4.819,0.064,0.519,-0.420,-0.863,-0.380,-0.405,0.078,1.079,3.801,1.403,68.513,1.113
0.157,10.896,0.191,0.425,-10.472,9.009,9.251,0.242,9.045,8.972,6.958,20.577,5.248,0.045,0.342,-0.465,-1.150,-0.301,-0.599,0.250,0.749,4.662,1.333,129.381,0.783
0.078,10.124,0.212,-0.683,-10.807,9.223,9.248,0.025,9.223,0.000,7.554,20.647,3.611,0.033,-0.016,-0.387,-0.733,0.167,-0.673,0.227,0.485,2.556,1.283,59.046,0.102
0.090,10.870,0.195,-0.114,-10.984,8.972,9.142,0.170,8.931,9.013,7.087,19.878,5.858,0.063,0.509,-0.432,-0.920,-0.417,-0.342,0.160,1.431,2.065,1.557,145.372,0.868
0.085,9.867,0.172,-0.542,-10.409,8.860,8.794,-0.065,8.901,8.818,7.280,20.758,3.875,0.032,0.547,-0.621,-0.593,-0.590,-0.186,-0.183,0.690,5.110,1.246,47.061,1.054
0.104,10.849,0.208,0.491,-10.358,8.927,9.208,0.281,8.927,0.000,7.064,19.772,6.903,0.042,0.515,-0.324,-1.005,-0.319,-0.463,0.222,1.540,5.140,1.331,142.662,0.881
0.085,10.375,0.191,-0.517,-10.892,8.972,9.024,0.051,8.931,9.014,7.321,20.600,4.338,0.035,0.510,-0.430,-0.702,-0.380,-0.297,0.025,0.720,3.576,1.340,90.284,1.214
0.090,9.801,0.152,-0.170,-9.971,8.843,8.842,-0.001,8.848,8.838,7.238,20.621,3.585,0.015,0.608,-0.599,-0.611,-0.626,-0.108,-0.122,0.369,6.680,1.118,13.588,1.226
0.081,9.548,0.177,-0.187,-9.735,8.693,8.643,-0.050,8.695,8.691,7.332,20.634,3.463,0.013,0.743,-0.772,-0.368,-0.861,0.249,-0.244,0.235,5.581,1.128,57.547,0.951
0.080,10.353,0.190,0.160,-10.193,9.102,9.235,0.134,9.143,9.060,7.479,19.660,4.655,0.018,0.161,-0.397,-0.747,-0.004,-0.486,0.257,0.533,4.575,1.309,85.947,0.892
0.143,10.341,0.183,0.426,-9.916,9.002,9.097,0.095,8.997,9.007,7.655,20.278,4.472,0.023,0.418,-0.436,-0.538,-0.255,-0.132,0.151,0.520,5.078,1.258,127.000,0.770
0.190,11.134,0.210,0.362,-10.772,9.043,9.309,0.265,9.079,9.007,7.044,20.622,5.338,0.096,0.284,-0.436,-1.069,-0.242,-0.422,0.405,1.399,3.682,1.414,170.313,1.512
0.212,11.176,0.220,0.681,-10.495,9.092,9.289,0.197,9.092,0.000,7.407,19.930,5.214,0.099,0.260,-0.388,-0.776,-0.069,-0.298,0.409,1.410,3.537,1.418,156.473,0.505
0.080,10.019,0.213,-0.175,-10.194,9.131,9.207,0.076,9.131,0.000,7.454,19.992,3.851,0.016,0.186,-0.364,-0.763,-0.001,-0.567,0.196,0.400,4.199,1.228,68.037,0.805
0.087,10.054,0.165,-0.160,-10.214,9.025,9.126,0.101,9.077,8.973,7.276,20.351,3.773,0.017,0.287,-0.464,-0.834,-0.220,-0.512,0.102,0.366,4.209,1.206,55.049,0.811
0.080,10.211,0.186,-0.313,-10.524,8.934,8.949,0.014,8.915,8.953,7.225,20.634,4.939,0.052,0.530,-0.482,-0.737,-0.463,-0.340,-0.066,0.770,6.992,1.320,91.388,1.269
0.131,10.925,0.196,0.050,-10.875,9.122,9.271,0.150,9.122,0.000,7.887,19.993,4.618,0.050,0.204,-0.361,-0.552,0.029,-0.164,0.418,1.015,2.034,1.426,131.305,0.956
0.084,10.390,0.187,-0.125,-10.516,9.063,9.199,0.136,9.132,8.994,7.295,20.079,4.776,0.027,0.184,-0.447,-0.853,-0.099,-0.571,0.182,0.688,5.665,1.314,98.663,1.069
0.133,10.588,0.175,-0.136,-10.724,9.030,9.189,0.159,9.060,9.000,7.395,20.808,4.392,0.053,0.317,-0.442,-0.734,-0.212,-0.284,0.238,0.730,4.752,1.307,75.192,0.855
0.144,10.911,0.207,0.260,-10.651,8.936,9.022,0.086,8.864,9.008,7.156,20.522,5.366,0.059,0.590,-0.435,-0.799,-0.485,-0.289,0.025,0.950,2.290,1.414,145.881,1.256
0.090,10.436,0.204,-0.287,-10.724,9.071,9.135,0.064,9.140,9.002,7.835,19.935,4.086,0.055,0.169,-0.440,-0.551,-0.013,-0.399,0.139,0.840,4.231,1.411,111.576,1.223
0.081,9.964,0.181,-0.840,-10.804,9.081,9.084,0.003,9.195,8.967,7.924,21.091,4.875,0.179,0.051,-0.470,-0.533,-0.002,-0.472,0.059,1.387,2.503,1.432,73.783,0.622
0.079,9.689,0.184,-0.209,-9.898,8.862,8.894,0.033,8.860,8.863,7.126,20.375,3.689,0.025,0.594,-0.572,-0.747,-0.615,-0.228,-0.096,0.356,6.143,1.237,83.693,1.053
0.103,10.748,0.186,0.231,-10.517,8.886,9.111,0.224,8.886,0.000,7.060,20.400,6.203,0.085,0.564,-0.374,-0.943,-0.427,-0.410,0.106,0.640,-0.282,1.435,137.188,1.075
0.140,10.753,0.188,0.462,-10.291,9.169,9.292,0.123,9.169,0.000,7.696,20.022,4.552,0.030,0.107,-0.317,-0.662,0.149,-0.446,0.365,0.484,4.886,1.276,109.465,0.757
0.090,10.374,0.172,-0.364,-10.737,9.022,9.050,0.029,9.058,8.986,7.347,20.415,4.233,0.053,0.321,-0.453,-0.766,-0.229,-0.531,0.006,0.718,1.431,1.316,66.021,0.703
0.080,10.156,0.188,-0.431,-10.587,8.968,9.109,0.141,8.948,8.988,6.991,20.792,4.627,0.067,0.487,-0.452,-1.021,-0.435,-0.503,0.084,0.809,6.788,1.507,70.170,0.892
0.177,10.967,0.199,0.582,-10.385,9.047,9.268,0.221,9.136,8.958,7.150,20.341,4.955,0.051,0.175,-0.478,-0.986,-0.147,-0.550,0.290,0.549,3.467,1.334,155.220,0.749
0.080,9.891,0.175,-0.446,-10.337,9.041,9.145,0.104,9.143,8.939,7.254,20.732,4.348,0.052,0.162,-0.495,-0.882,-0.151,-0.633,0.098,0.654,4.566,1.225,45.188,0.973
0.119,10.119,0.281,0.652,-9.467,8.814,8.963,0.150,8.739,8.888,7.628,19.978,3.720,0.013,0.709,-0.545,-0.320,-0.584,0.346,0.083,0.144,5.880,1.066,66.008,1.118
0.092,10.639,0.209,0.204,-10.436,8.998,9.153,0.155,9.045,8.951,7.073,20.404,6.413,0.066,0.342,-0.484,-0.999,-0.310,-0.566,0.123,0.705,3.033,1.426,101.881,1.862
0.079,9.820,0.174,-0.758,-10.578,8.976,9.081,0.105,8.960,8.992,7.175,20.924,4.135,0.079,0.471,-0.448,-0.837,-0.398,-0.357,0.081,0.773,2.110,1.392,77.600,0.158
0.080,10.064,0.206,-0.109,-10.173,9.021,9.168,0.147,9.021,0.000,7.425,20.124,3.687,0.020,0.381,-0.333,-0.732,-0.163,-0.385,0.184,0.235,4.578,1.281,94.342,0.351
0.079,9.354,0.288,-0.205,-9.559,8.778,8.847,0.070,8.754,8.801,7.656,20.838,3.434,0.019,0.696,-0.640,-0.260,-0.641,0.346,-0.035,0.142,4.010,1.170,99.328,0.283
0.086,10.704,0.220,0.267,-10.437,8.980,9.297,0.316,8.980,0.000,7.276,19.458,6.154,0.058,0.442,-0.339,-0.828,-0.234,-0.097,0.497,1.294,3.801,1.434,157.848,0.893
0.083,9.813,0.166,-0.139,-9.952,8.869,8.859,-0.010,8.858,8.880,7.236,20.403,4.070,0.027,0.596,-0.554,-0.644,-0.578,-0.189,-0.123,0.430,6.441,1.218,88.130,1.655
0.090,10.218,0.183,-0.367,-10.585,9.082,9.236,0.155,9.144,9.020,7.323,20.689,4.397,0.060,0.159,-0.426,-0.840,-0.052,-0.545,0.243,0.646,4.374,1.424,73.454,1.530
0.079,9.545,0.163,-0.464,-10.009,8.916,8.932,0.016,8.894,8.938,7.173,20.702,3.733,0.038,0.555,-0.496,-0.765,-0.506,-0.343,-0.083,0.488,7.963,1.231,62.074,0.552
0.081,9.785,0.216,-0.014,-9.799,8.916,8.949,0.033,8.936,8.896,7.276,20.011,3.601,0.019,0.503,-0.538,-0.677,-0.477,-0.247,-0.047,0.305,6.853,1.174,69.672,0.942
0.079,9.348,0.159,-0.872,-10.220,8.901,8.874,-0.027,8.945,8.857,7.237,21.344,3.064,0.042,0.492,-0.578,-0.691,-0.507,-0.319,-0.135,0.370,5.637,1.184,21.688,0.658
0.151,10.875,0.190,0.282,-10.593,9.037,9.184,0.147,9.114,8.959,7.581,20.472,4.744,0.062,0.219,-0.477,-0.631,-0.134,-0.260,0.237,0.704,3.358,1.400,114.519,1.043
0.075,10.000,0.154,0.223,-9.777,8.853,8.931,0.079,8.807,8.898,7.373,19.620,4.206,0.017,0.649,-0.535,-0.519,-0.579,0.057,-0.003,0.465,7.335,1.181,81.327,1.614
0.077,10.285,0.148,-0.273,-10.558,8.970,9.144,0.174,8.964,8.976,6.907,20.317,5.183,0.059,0.466,-0.462,-1.144,-0.426,-0.619,0.099,1.108,6.002,1.335,100.896,0.754
0.079,10.139,0.166,-0.350,-10.489,8.988,9.017,0.029,8.997,8.979,7.337,20.834,4.414,0.047,0.418,-0.459,-0.722,-0.327,-0.400,-0.005,0.431,7.734,1.226,49.523,0.985
0.081,10.234,0.179,-0.318,-10.552,9.057,9.138,0.081,9.057,0.000,7.818,20.471,4.266,0.043,0.322,-0.386,-0.522,-0.107,-0.235,0.180,0.427,5.265,1.285,62.899,0.725
0.084,9.871,0.201,-0.498,-10.369,8.902,8.975,0.073,8.911,8.894,7.788,20.690,3.314,0.028,0.535,-0.539,-0.357,-0.420,0.116,0.053,0.352,6.399,1.199,64.870,0.991
0.095,9.745,0.142,-0.074,-9.819,8.724,8.704,-0.019,8.681,8.766,7.465,20.208,3.118,0.019,0.752,-0.681,-0.314,-0.761,0.262,-0.185,0.273,7.110,1.107,109.304,0.897
0.080,10.208,0.271,0.414,-9.794,9.107,9.225,0.118,9.107,0.000,7.322,19.573,4.309,0.015,0.232,-0.358,-0.840,-0.059,-0.558,0.222,0.309,5.961,1.144,94.424,1.397
0.084,9.656,0.180,-0.301,-9.957,8.912,8.953,0.041,8.972,8.852,7.103,20.983,3.791,0.030,0.454,-0.584,-0.847,-0.502,-0.424,-0.080,0.329,6.848,1.163,127.795,1.378
0.082,10.188,0.193,-0.086,-10.273,8.900,8.988,0.088,8.873,8.927,6.999,20.830,4.903,0.045,0.580,-0.507,-0.925,-0.561,-0.406,-0.042,0.346,5.700,1.192,86.762,1.485
0.076,9.801,0.199,-0.451,-10.251,9.040,9.218,0.178,9.157,8.922,7.465,20.706,4.600,0.060,0.132,-0.511,-0.731,-0.084,-0.392,0.255,0.730,6.997,1.171,93.608,0.949
0.083,10.457,0.187,-0.199,-10.656,8.914,9.101,0.187,8.914,0.000,7.306,19.713,3.716,0.032,0.531,-0.349,-0.749,-0.331,-0.299,0.118,0.434,2.249,1.394,155.391,0.330
0.076,10.178,0.179,-0.543,-10.720,8.947,9.074,0.128,8.916,8.977,7.140,20.648,5.242,0.100,0.528,-0.461,-0.836,-0.458,-0.290,0.088,1.149,3.344,1.464,111.823,1.504
0.074,9.672,0.295,0.041,-9.631,9.031,9.138,0.108,9.091,8.970,7.354,20.028,3.879,0.019,0.262,-0.467,-0.779,-0.183,-0.469,0.127,0.254,4.476,1.114,46.292,0.508
0.076,9.213,0.170,-0.089,-9.301,8.604,8.532,-0.073,8.615,8.594,7.300,20.145,3.218,0.015,0.795,-0.894,-0.297,-1.009,0.391,-0.320,0.257,6.180,1.109,110.824,0.747
0.075,9.919,0.254,-0.056,-9.975,8.959,9.008,0.049,8.996,8.922,7.191,20.130,3.983,0.020,0.419,-0.512,-0.823,-0.394,-0.457,-0.029,0.305,5.038,1.181,94.810,0.767
0.237,11.108,0.237,0.907,-10.200,9.049,9.228,0.178,9.094,9.005,7.401,20.436,4.610,0.034,0.257,-0.438,-0.755,-0.150,-0.314,0.291,0.437,5.171,1.177,135.022,0.967
0.226,10.362,0.253,0.649,-9.714,8.963,9.029,0.066,8.986,8.940,7.466,20.869,3.697,0.027,0.434,-0.494,-0.603,-0.346,-0.206,0.051,0.259,6.945,1.126,110.888,0.744
0.078,10.042,0.183,-0.833,-10.875,8.975,8.971,-0.003,8.994,8.956,7.228,20.737,3.459,0.056,0.423,-0.479,-0.805,-0.357,-0.533,-0.085,0.601,4.024,1.356,109.937,0.453
