z,mass,mass_err,SFR,sSFR,Z_Mannucci,Z_Dopita,deltaZ,Z_R23,Z_NHa,q,surf_bright,HaHb,bdec_frac_err,logR23,logNHa,OIII/OII,NII/OII,OIII/SII,NII/SII,Hbeta_ratio,Hdelta_eqw,D4000,vdisp,A_v
0.144,10.496,0.184,0.040,-10.456,9.000,9.117,0.117,8.997,9.003,7.301,20.648,4.183,0.070,0.418,-0.439,-0.773,-0.298,-0.347,0.128,0.779,4.115,1.351,51.092,0.795
0.126,10.528,0.201,-0.060,-10.588,9.041,9.177,0.136,9.143,8.939,7.255,20.719,4.432,0.075,0.162,-0.495,-0.908,-0.073,-0.716,0.119,0.580,4.922,1.359,62.989,1.123
0.120,10.580,0.210,-0.109,-10.688,9.090,9.212,0.121,9.090,0.000,7.255,20.420,4.537,0.099,0.263,-0.318,-0.916,-0.045,-0.702,0.169,0.888,1.498,1.438,128.227,1.058
0.143,10.763,0.200,-0.018,-10.781,9.046,9.131,0.085,9.141,8.951,7.638,20.729,4.845,0.119,0.165,-0.484,-0.623,-0.072,-0.423,0.129,1.258,5.086,1.372,67.790,0.965
0.085,10.321,0.209,-0.353,-10.674,9.042,9.211,0.170,9.061,9.023,7.180,20.364,4.222,0.061,0.316,-0.424,-0.925,-0.226,-0.475,0.224,0.582,5.733,1.404,56.191,0.838
0.085,9.919,0.209,-0.860,-10.779,8.909,8.862,-0.047,8.904,8.913,7.047,20.767,3.379,0.088,0.543,-0.520,-0.879,-0.549,-0.516,-0.186,0.817,3.496,1.414,159.776,-0.061
0.086,9.871,0.168,-0.514,-10.385,8.986,9.091,0.105,9.019,8.952,7.047,20.885,4.024,0.060,0.384,-0.484,-1.012,-0.341,-0.641,0.030,0.421,2.671,1.265,46.797,0.074
0.162,10.848,0.256,0.926,-9.922,8.946,9.091,0.146,8.945,8.947,7.077,20.412,6.623,0.066,0.492,-0.488,-0.905,-0.459,-0.350,0.096,0.514,3.817,1.336,158.749,1.816
0.086,10.498,0.205,-0.277,-10.775,9.030,9.148,0.118,9.011,9.050,7.150,20.462,5.701,0.121,0.397,-0.404,-0.928,-0.282,-0.518,0.128,1.328,4.078,1.551,95.836,1.026
0.126,10.683,0.209,0.695,-9.987,8.986,9.083,0.096,8.906,9.067,7.417,19.723,4.275,0.020,0.542,-0.393,-0.633,-0.360,-0.143,0.130,0.312,6.088,1.168,110.444,1.528
0.219,11.069,0.208,1.210,-9.859,8.911,9.143,0.233,8.911,0.000,7.213,20.861,6.066,0.053,0.535,-0.352,-0.822,-0.356,-0.293,0.174,0.297,5.819,1.227,178.172,1.360
0.070,9.340,0.272,-0.388,-9.728,8.799,8.821,0.022,8.741,8.857,7.082,20.630,4.277,0.041,0.707,-0.578,-0.724,-0.727,-0.148,-0.151,0.345,4.837,1.247,39.949,0.728
0.084,10.053,0.208,-0.313,-10.366,9.079,9.233,0.153,9.123,9.035,7.309,20.505,4.097,0.042,0.201,-0.415,-0.843,-0.089,-0.507,0.247,0.426,6.333,1.328,63.426,1.278
0.110,10.829,0.192,0.235,-10.594,8.965,9.171,0.206,8.996,8.934,7.054,20.070,5.513,0.065,0.419,-0.500,-0.967,-0.400,-0.377,0.190,0.761,3.844,1.315,135.240,0.921
0.089,9.822,0.142,-0.395,-10.217,8.774,8.761,-0.013,8.739,8.809,7.157,21.038,3.775,0.036,0.709,-0.631,-0.616,-0.763,-0.040,-0.186,0.361,6.670,1.181,66.745,0.726
0.089,10.312,0.192,0.361,-9.951,9.015,9.156,0.141,8.970,9.060,7.087,19.621,4.454,0.020,0.457,-0.397,-0.965,-0.343,-0.474,0.148,0.334,4.158,1.232,110.587,0.944
0.094,10.538,0.186,-0.426,-10.964,9.122,9.213,0.091,9.122,0.000,7.351,20.411,3.859,0.050,0.203,-0.376,-0.825,-0.026,-0.605,0.194,0.631,3.079,1.443,64.530,0.479
0.082,10.594,0.188,-0.160,-10.754,9.038,9.224,0.186,9.142,8.934,7.248,19.785,4.878,0.056,0.164,-0.500,-0.893,-0.140,-0.522,0.231,0.984,2.402,1.362,111.695,0.659
